date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2011-04-27,-0.005896294,-0.007418307,0.009996149,0.003787684,-0.0015220133,0.010146785661243002
2011-04-28,-0.008339535,-0.0057244417,0.01017274,0.003854597,0.0026150935,0.010326597527150604
2011-04-29,-0.006233284,-0.007892312,0.010264824,0.0038894892,-0.0016590272,0.010273836148964368
2011-05-02,-0.00841871,-0.023465248,0.010126574,0.003837104,-0.015046539,0.010223951145553963
2011-05-03,-0.024152277,-0.0060829804,0.011289151,0.0042776214,0.018069295,0.011254790146213164
2011-05-04,-0.005061997,-0.013228244,0.011200695,0.004244104,-0.008166248,0.011267763544075531
2011-05-05,-0.014058576,0.017700268,0.010828334,0.004103011,0.031758845,0.010834323530861913
2011-05-06,0.016637855,0.00047702974,0.011982958,0.0045405147,-0.016160825,0.01174926255941969
2011-05-09,-6.31e-05,-0.0024093506,0.012491592,0.0047332435,-0.0023462845,0.01176927375757936
2011-05-10,-0.001776017,0.0031510515,0.012342671,0.004676815,0.004927068,0.011763932916429085
2011-05-11,0.004285827,-0.015863378,0.011834024,0.0044840816,-0.020149205,0.011823571504535406
2011-05-12,-0.014279218,0.010908736,0.011428565,0.004330447,0.025187952,0.012015089869292908
